source_page,source_table,Item Name,Count,Amount
1,1,Beef Ramen,328.00,"5,032.52"
1,1,Lunch Special,308.00,"4,160.47"
1,1,Beef Tossed Ramen,214.00,"3,166.60"
1,1,Mai's BF Chicken Cutlet Combo,201.00,"3,047.09"
1,1,Chicken Ramen,181.00,"2,613.36"
1,1,Pork Ramen,173.00,"2,413.66"
1,1,Beef Tossed Rice Noodle,146.00,"2,343.52"
1,1,Sichuan Chili Wontons,181.00,"2,027.16"
1,1,Chicken Rice Noodle Soup,132.00,"1,922.45"
1,1,Beef Rice Noodle Soup,123.00,"1,889.06"
1,1,House Ramen,112.00,"1,830.92"
1,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",129.00,"1,761.18"
1,1,Chicken Tossed Rice Noodles,115.00,"1,648.14"
1,1,Mai Special Fried Chicken(8),157.00,"1,538.48"
1,1,Pork Tossed Ramen,116.00,"1,553.80"
1,1,Chicken Fried Rice,130.00,"1,568.64"
2,1,Pork Tossed Rice Noodle,100.00,"1,355.56"
2,1,Chicken Tossed Ramen,101.00,"1,439.54"
2,1,Steamed Pork Buns,233.00,"1,190.88"
2,1,Shrimp Fried Rice,87.00,"1,113.51"
2,1,Beef Fried Rice,75.00,992.82
2,1,Fried Pork Dumplings(10),108.00,970.51
2,1,House Rice Noodle Soup,61.00,997.21
2,1,House Fried Rice,72.00,"1,004.67"
2,1,Pork Rice Noodle Soup,63.00,889.57
2,1,Steam Pork Dumplings(10),106.00,948.27
2,1,Vegetable Ramen,50.00,684.06
2,1,Cream Cheese Rangoon(6),117.00,716.65
2,1,Brown Sugar Milk Tea w. boba,149.00,601.79
2,1,House Tossed Rice Noodle,35.00,560.46
2,1,Citrus Honey Fried Chicken  (8),53.00,536.24
2,1,Tempura Shrimp(3),102.00,487.66
2,1,Mai's Golden Flake Fried Chicken(8),50.00,533.85
2,1,Crispy Spring Roll(3),132.00,523.04
2,1,Chili Pepper Fried Chicken（8）,51.00,509.24
2,1,Thai Milk Tea w. boba,98.00,433.74
2,1,House Tossed Ramen,27.00,443.31
2,1,Spicy Cucumber Salad,69.00,378.50
3,1,Mai BF Chicken Cutlet Combo,20.00,347.38
3,1,Vegetable Rice Noodle Soup,25.00,355.64
3,1,Vegetable Fried Rice,31.00,361.06
3,1,Pork Fried Rice,27.00,344.44
3,1,Jumbo Chicken Tenders Combo (3),39.00,378.75
3,1,Golden Coconut Crunch Chicken(8),33.00,339.86
3,1,Wonton Soup,30.00,328.39
3,1,Crispy Pork Egg Roll(3),75.00,295.23
3,1,Vegetable Tossed Rice Noodle,24.00,324.97
3,1,Vegetable Tossed Ramen,22.00,305.12
3,1,Mai OG Fried Chicken Wings(4),51.00,274.32
3,1,Brown Sugar Rice Cake (5),54.00,289.82
3,1,Dr. Pepper,94.00,279.40
3,1,Pepsi zero,91.00,260.31
3,1,Pepsi,87.00,253.94
3,1,Tangy Honey Mustard Fried Chicken (8),28.00,259.41
3,1,Sweet Ice Tea,87.00,247.16
3,1,Sweet Sesame Ball (6) w. red bean,48.00,223.93
3,1,Strawberry Sunrise,61.00,249.01
3,1,Mai's BF Chicken Cutlet,29.00,218.02
3,1,Onion Glory Fried Chicken(8),23.00,237.88
3,1,Golden Kiwi,49.00,203.94
4,1,Unsweet Ice Tea,69.00,201.11
4,1,Specialty Drink,69.00,203.14
4,1,Mai Buffalo Chicken Wings(8),22.00,214.18
4,1,Crispy French Fries(LG),43.00,168.35
4,1,Lemonade,59.00,175.02
4,1,Mango Milk Tea,40.00,190.20
4,1,Strawberry Milk Tea,42.00,186.52
4,1,Steam Pork Bun （3）,16.00,113.94
4,1,Hot Tea,35.00,103.03
4,1,Brown Sugar Milk Tea,22.00,99.33
4,1,Strawberry Jas-Lemonade,23.00,94.87
4,1,BF chicken cutlet combo,7.00,92.50
4,1,Mango Jas-Lemonade,17.00,72.87
4,1,Plain Fried Rice,18.00,80.25
4,1,White Rice - DINE IN,48.00,73.59
4,1,Starry - Sprite,23.00,67.46
4,1,Matcha Milk Tea w. boba,16.00,72.67
4,1,Peach Jas-Lemonade,13.00,58.69
4,1,Jumbo Chicken Tenders(3),10.00,61.24
4,1,Original Jas-Lemonade,13.00,58.29
4,1,Gift Card,5.00,45.00
4,1,Bottled Soda,15.00,42.74
5,1,Ramen,17.00,41.20
5,1,Lychee Jas-Lemonade,10.00,37.81
5,1,Pork Bun (3),6.00,35.94
5,1,Orange Crush,13.00,38.73
5,1,Chunked Beef,10.00,39.28
5,1,Rice Noodle,15.00,36.91
5,1,Braised Pork,9.00,29.82
5,1,Braised Egg （2 half）,15.00,26.30
5,1,Thai Milk Tea,5.00,24.37
5,1,White Rice,9.00,26.92
5,1,Blueberry Jas-Lemonade,6.00,20.52
5,1,Ramune - Strawberry,5.00,18.23
5,1,BF chicken cutlet,2.00,15.00
5,1,Braised Chicken,5.00,14.20
5,1,Chili Pepper Fried Chicken (8),1.00,11.99
5,1,Tangy Honey Mustard Fried Chicken(8),1.00,11.99
5,1,Bottled Water,7.00,12.64
5,1,Wasabi Spiced Fried Chicken (8),1.00,9.99
5,1,Shrimp (8),4.00,12.84
5,1,White Rice-To Go,3.00,9.50
5,1,Crispy French Fries,2.00,7.98
5,1,Pepsi Zero,2.00,7.32
6,1,Ramune - Melon,2.00,6.58
6,1,Sweet Tea,2.00,5.98
6,1,Jumbo Chicken Tender (3),1.00,5.50
