source_page,source_table,Item Name,Count,Amount
1,1,Beef Tossed Ramen,321.00,"4,564.29"
1,1,Beef Ramen,273.00,"3,986.72"
1,1,Lunch Special,213.00,"2,994.75"
1,1,Chicken Rice Noodle Soup,173.00,"2,486.42"
1,1,Chicken Ramen,127.00,"1,888.36"
1,1,Beef Tossed Rice Noodle,112.00,"1,798.91"
1,1,Pork Tossed Ramen,141.00,"1,907.81"
1,1,Chicken Tossed Ramen,110.00,"1,541.79"
1,1,House Ramen,84.00,"1,428.07"
1,1,Mai Special Fried Chicken(8),152.00,"1,531.62"
1,1,Pork Ramen,95.00,"1,321.41"
1,1,Chicken Tossed Rice Noodles,80.00,"1,168.76"
1,1,Beef Rice Noodle Soup,66.00,"1,036.74"
1,1,BF chicken cutlet combo,77.00,943.49
1,1,Sichuan Chili Wontons,82.00,910.64
1,1,Fried Pork Dumplings(10),85.00,763.31
2,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",55.00,696.19
2,1,Cream Cheese Rangoon(6),110.00,660.64
2,1,Pork Tossed Rice Noodle,48.00,633.90
2,1,Mai's Golden Flake Fried Chicken(8),67.00,680.49
2,1,Steam Pork Dumplings(10),71.00,633.50
2,1,Mai OG Fried Chicken Wings(4),116.00,587.70
2,1,Crispy Spring Roll(3),137.00,549.00
2,1,Vegetable Ramen,39.00,528.97
2,1,Chicken Fried Rice,44.00,571.13
2,1,Golden Coconut Crunch Chicken(8),52.00,524.09
2,1,Crispy Pork Egg Roll(3),119.00,477.61
2,1,Pork Rice Noodle Soup,33.00,444.59
2,1,Pork Bun (3),74.00,437.03
2,1,House Fried Rice,29.00,419.20
2,1,Brown Sugar Milk Tea w. Boba (24oz),101.00,424.51
2,1,Tempura Shrimp(3),76.00,376.69
2,1,Dr. Pepper,111.00,327.63
2,1,House Rice Noodle Soup,21.00,339.32
2,1,Citrus Honey Fried Chicken  (8),28.00,275.98
2,1,Shrimp Fried Rice,19.00,257.36
2,1,Vegetable Rice Noodle Soup,22.00,314.18
2,1,Beef Fried Rice,18.00,247.79
3,1,Mai BF Chicken Cutlet Combo,16.00,225.00
3,1,Sweet Ice Tea,83.00,238.63
3,1,Steam Pork Bun （3）,37.00,251.63
3,1,Diet Pepsi,67.00,198.32
3,1,Specialty Drink,78.00,224.43
3,1,Unsweet Ice Tea,78.00,218.33
3,1,Thai Milk Tea w. Boba (24oz),50.00,200.73
3,1,Pepsi,73.00,208.47
3,1,Onion Glory Fried Chicken(8),19.00,180.30
3,1,Pork Fried Rice,13.00,165.57
3,1,Spicy Cucumber Salad,29.00,152.92
3,1,Vegetable Tossed Rice Noodle,11.00,161.14
3,1,Milk Tea(24oz),28.00,152.95
3,1,Golden kiwi (16oz),42.00,161.82
3,1,Strawberry Sunrise（16oz),42.00,152.64
3,1,Strawberry Sunrise Tea,33.00,122.66
3,1,Mai Buffalo Chicken Wings(8),14.00,140.33
3,1,Jumbo Chicken Tenders Combo (3),10.00,98.46
3,1,Starry - Sprite,35.00,100.88
3,1,Thai Milk Tea (24oz),17.00,91.20
3,1,Vegetable Fried Rice,7.00,87.21
3,1,BF chicken cutlet,13.00,85.12
4,1,Jumbo Chicken Tender (3),17.00,84.58
