source_page,source_table,Item Name,Count,Amount
1,1,Beef Ramen,357.00,"5,600.47"
1,1,Lunch Special,366.00,"5,149.01"
1,1,Mai's BF Chicken Cutlet Combo,266.00,"4,080.53"
1,1,Pork Ramen,227.00,"3,194.81"
1,1,Chicken Ramen,204.00,"2,934.90"
1,1,Beef Tossed Rice Noodle,155.00,"2,522.59"
1,1,Beef Tossed Ramen,170.00,"2,547.87"
1,1,Chicken Fried Rice,190.00,"2,379.19"
1,1,Mai Special Fried Chicken(8),200.00,"2,002.64"
1,1,Chicken Rice Noodle Soup,133.00,"1,979.08"
1,1,Sichuan Chili Wontons,165.00,"1,867.63"
1,1,Pork Tossed Ramen,144.00,"1,917.99"
1,1,Beef Rice Noodle Soup,118.00,"1,837.62"
1,1,Steamed Pork Buns,349.00,"1,735.84"
1,1,House Ramen,97.00,"1,595.96"
1,1,Pork Tossed Rice Noodle,105.00,"1,423.40"
2,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",106.00,"1,436.39"
2,1,Chicken Tossed Ramen,93.00,"1,317.34"
2,1,Mai's Golden Flake Fried Chicken(8),81.00,"1,171.06"
2,1,Fried Pork Dumplings(10),136.00,"1,239.72"
2,1,Beef Fried Rice,82.00,"1,175.20"
2,1,Chicken Tossed Rice Noodles,73.00,"1,041.00"
2,1,Cream Cheese Rangoon(6),147.00,"1,085.89"
2,1,Shrimp Fried Rice,78.00,"1,056.36"
2,1,Steam Pork Dumplings(10),114.00,"1,008.12"
2,1,Pork Rice Noodle Soup,68.00,933.28
2,1,House Fried Rice,63.00,906.49
2,1,House Rice Noodle Soup,59.00,974.87
2,1,Vegetable Fried Rice,39.00,805.56
2,1,Mai's BF Chicken Cutlet,109.00,781.11
2,1,Vegetable Ramen,55.00,771.57
2,1,Thai Milk Tea w. boba,166.00,738.59
2,1,Brown Sugar Milk Tea w. boba,169.00,728.16
2,1,House Tossed Rice Noodle,41.00,682.06
2,1,Pork Fried Rice,40.00,588.41
2,1,Wonton Soup,48.00,538.90
2,1,Crispy Spring Roll(3),111.00,514.27
2,1,Chili Pepper Fried Chicken（8）,50.00,494.84
3,1,House Tossed Ramen,32.00,516.72
3,1,Tempura Shrimp(3),88.00,445.43
3,1,Vegetable Rice Noodle Soup,32.00,442.28
3,1,Golden Coconut Crunch Chicken(8),42.00,422.19
3,1,Jumbo Chicken Tenders Combo (3),39.00,391.75
3,1,Matcha Milk Tea w. boba,88.00,445.74
3,1,Crispy Pork Egg Roll(3),91.00,372.53
3,1,Mango Milk Tea,82.00,381.28
3,1,Spicy Cucumber Salad,64.00,356.75
3,1,Sweet Sesame Ball (6) w. red bean,66.00,326.11
3,1,Steam Pork Bun （3）,39.00,294.51
3,1,Vegetable Tossed Rice Noodle,17.00,302.35
3,1,Dr. Pepper,98.00,291.57
3,1,Vegetable Tossed Ramen,21.00,291.16
3,1,Pepsi,90.00,268.09
3,1,Brown Sugar Rice Cake (5),50.00,268.38
3,1,Citrus Honey Fried Chicken  (8),29.00,286.81
3,1,Pepsi zero,94.00,277.37
3,1,Tangy Honey Mustard Fried Chicken (8),26.00,257.33
3,1,Onion Glory Fried Chicken(8),22.00,223.80
3,1,Strawberry Sunrise,59.00,252.37
3,1,Strawberry Milk Tea,50.00,234.01
4,1,Mai OG Fried Chicken Wings(4),42.00,217.46
4,1,Golden Kiwi,46.00,207.64
4,1,Sweet Ice Tea,71.00,209.81
4,1,Plain Fried Rice,43.00,182.43
4,1,Crispy French Fries(LG),47.00,184.41
4,1,Specialty Drink,57.00,169.58
4,1,Mai BF Chicken Cutlet Combo,10.00,175.94
4,1,Mai Buffalo Chicken Wings(8),20.00,193.97
4,1,Mango Jas-Lemonade,38.00,168.05
4,1,Unsweet Ice Tea,53.00,154.07
4,1,Hot Tea,39.00,115.78
4,1,Strawberry Jas-Lemonade,29.00,130.03
4,1,Lemonade,38.00,108.96
4,1,Starry - Sprite,25.00,73.66
4,1,Jumbo Chicken Tenders(3),15.00,97.02
4,1,Original Jas-Lemonade,15.00,63.99
4,1,Ramen,26.00,65.93
4,1,White Rice - DINE IN,42.00,60.26
4,1,White Rice,19.00,58.14
4,1,Bottled Soda,16.00,48.26
4,1,Peach Jas-Lemonade,8.00,37.01
4,1,Orange Crush,13.00,39.39
5,1,Lychee Jas-Lemonade,7.00,30.70
5,1,Rice Noodle,11.00,27.70
5,1,Mai‘s special Sauce,21.00,25.60
5,1,Pepsi Zero,6.00,21.29
5,1,White Rice-To Go,10.00,23.75
5,1,Braised Egg （2 half）,12.00,21.00
5,1,Tropical Jas-Lemonade,3.00,15.00
5,1,Mango Bingsu,2.00,14.29
5,1,Brown Sugar Bingsu,4.00,20.25
5,1,Ramune - Strawberry,4.00,13.30
5,1,Shrimp (8),4.00,13.00
5,1,Blueberry Jas-Lemonade,4.00,16.55
5,1,Thai Bingsu,4.00,19.23
5,1,Chunked Beef,3.00,12.32
5,1,Open Food,2.00,9.31
5,1,Bottled Water,5.00,8.58
5,1,Ramune - Grape,2.00,7.32
5,1,Braised Pork,2.00,7.23
5,1,Strawberry Bingsu,2.00,6.75
5,1,Coconut Milk,2.00,6.65
5,1,Braised Egg,3.00,6.42
5,1,北冰洋 Orange Soda,1.00,3.66
6,1,Ramune - Melon,1.00,3.66
6,1,Braised Chicken,1.00,3.25
6,1,soup to go,1.00,1.50
6,1,Water,"2,157.00",0.00
