source_page,source_table,Item Name,Count,Amount
1,1,Beef Ramen,362.00,"5,626.37"
1,1,Lunch Special,398.00,"5,606.57"
1,1,Mai's BF Chicken Cutlet Combo,285.00,"4,312.18"
1,1,Pork Ramen,242.00,"3,360.22"
1,1,Chicken Ramen,205.00,"2,976.79"
1,1,Beef Tossed Ramen,188.00,"2,867.41"
1,1,Beef Tossed Rice Noodle,154.00,"2,519.72"
1,1,Mai Special Fried Chicken(8),210.00,"2,225.58"
1,1,Sichuan Chili Wontons,185.00,"2,054.87"
1,1,House Ramen,119.00,"1,972.32"
1,1,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",144.00,"1,968.55"
1,1,Chicken Rice Noodle Soup,133.00,"1,961.81"
1,1,Chicken Fried Rice,148.00,"1,849.24"
1,1,Beef Rice Noodle Soup,115.00,"1,807.11"
1,1,Pork Tossed Ramen,137.00,"1,810.77"
1,1,Pork Tossed Rice Noodle,115.00,"1,563.27"
2,1,Chicken Tossed Rice Noodles,104.00,"1,523.75"
2,1,Steamed Pork Buns,321.00,"1,423.98"
2,1,Pork Rice Noodle Soup,95.00,"1,299.33"
2,1,Chicken Tossed Ramen,98.00,"1,399.24"
2,1,House Rice Noodle Soup,81.00,"1,301.92"
2,1,House Fried Rice,84.00,"1,206.15"
2,1,Shrimp Fried Rice,84.00,"1,112.14"
2,1,Fried Pork Dumplings(10),111.00,"1,013.36"
2,1,Steam Pork Dumplings(10),116.00,"1,011.17"
2,1,Cream Cheese Rangoon(6),148.00,938.89
2,1,Beef Fried Rice,63.00,831.05
2,1,Brown Sugar Milk Tea w. boba,169.00,734.42
2,1,Thai Milk Tea w. boba,160.00,716.20
2,1,Vegetable Fried Rice,32.00,672.43
2,1,Crispy Spring Roll(3),133.00,674.23
2,1,Vegetable Ramen,49.00,679.60
2,1,House Tossed Rice Noodle,39.00,646.75
2,1,Mai's Golden Flake Fried Chicken(8),56.00,596.99
2,1,House Tossed Ramen,35.00,568.00
2,1,Wonton Soup,48.00,538.02
2,1,Pork Fried Rice,40.00,534.80
2,1,Citrus Honey Fried Chicken  (8),48.00,489.69
3,1,Golden Coconut Crunch Chicken(8),45.00,454.18
3,1,Tempura Shrimp(3),95.00,473.75
3,1,Vegetable Rice Noodle Soup,30.00,440.89
3,1,Chili Pepper Fried Chicken（8）,44.00,449.47
3,1,Spicy Cucumber Salad,75.00,412.16
3,1,Vegetable Tossed Rice Noodle,29.00,391.93
3,1,Matcha Milk Tea w. boba,81.00,397.22
3,1,Mango Milk Tea,81.00,383.84
3,1,Mai's BF Chicken Cutlet,54.00,384.46
3,1,Strawberry Sunrise,91.00,371.18
3,1,Mai BF Chicken Cutlet Combo,22.00,386.37
3,1,Brown Sugar Rice Cake (5),68.00,363.09
3,1,Vegetable Tossed Ramen,25.00,335.76
3,1,Mai OG Fried Chicken Wings(4),56.00,305.06
3,1,Golden Kiwi,68.00,308.61
3,1,Pepsi,98.00,288.33
3,1,Crispy Pork Egg Roll(3),72.00,294.48
3,1,Onion Glory Fried Chicken(8),28.00,283.72
3,1,Jumbo Chicken Tenders Combo (3),26.00,272.32
3,1,Mai Buffalo Chicken Wings(8),27.00,274.23
3,1,Dr. Pepper,87.00,257.85
3,1,Sweet Ice Tea,78.00,231.16
4,1,Steam Pork Bun （3）,33.00,223.69
4,1,Specialty Drink,71.00,205.59
4,1,Crispy French Fries(LG),52.00,207.76
4,1,Sweet Sesame Ball (6) w. red bean,43.00,211.83
4,1,Tangy Honey Mustard Fried Chicken (8),18.00,181.85
4,1,Pepsi zero,61.00,180.29
4,1,Strawberry Milk Tea,39.00,186.22
4,1,Unsweet Ice Tea,48.00,141.77
4,1,Braised Chicken,4.00,109.59
4,1,Lemonade,38.00,111.42
4,1,Jumbo Chicken Tenders(3),18.00,109.98
4,1,Chunked Beef,8.00,106.24
4,1,Hot Tea,37.00,109.19
4,1,Lychee Jas-Lemonade,23.00,102.87
4,1,Plain Fried Rice,25.00,103.28
4,1,Mango Jas-Lemonade,21.00,88.84
4,1,Strawberry Jas-Lemonade,24.00,93.51
4,1,White Rice,27.00,80.94
4,1,Starry - Sprite,22.00,64.64
4,1,White Rice - DINE IN,42.00,62.75
4,1,Orange Crush,18.00,47.42
4,1,Rice Noodle,17.00,45.55
5,1,Bottled Soda,12.00,35.81
5,1,Original Jas-Lemonade,7.00,32.30
5,1,Peach Jas-Lemonade,7.00,30.52
5,1,Ramen,13.00,32.18
5,1,Braised Egg （2 half）,16.00,27.74
5,1,Pepsi Zero,6.00,21.96
5,1,Blueberry Jas-Lemonade,5.00,24.73
5,1,Braised Pork,4.00,12.68
5,1,Tropical Jas-Lemonade,3.00,12.62
5,1,Ramune - Grape,3.00,10.98
5,1,Ramune - Strawberry,3.00,10.98
5,1,北冰洋 Orange Soda,2.00,7.32
5,1,Braised Egg,3.00,6.42
5,1,Mai‘s special Sauce,5.00,6.15
5,1,Bottled Water,3.00,5.25
5,1,Sweet Tea,1.00,3.66
5,1,Ramune - Melon,1.00,3.66
5,1,White Rice-To Go,2.00,4.50
5,1,Mai‘s Special Sauce,1.00,1.00
5,1,Water,"2,320.00",0.00
5,1,Sliced Fruit  - 5 day expiration,1.00,0.00
5,1,House Tossed Rice Noodle,1.00,15.99
